"mgc","ghv","lip","chg","aac","alm1","alm2","class","confidence(cp)","confidence(im)","confidence(imS)","confidence(imL)","confidence(imU)","confidence(om)","confidence(omL)","confidence(pp)","prediction(class)"
0.21,0.34,0.48,0.5,0.51,0.28,0.39,"cp",0.9999996693857963,3.2925224336018403E-7,0.0,0.0,1.7769674359886375E-29,6.803299030668921E-17,0.0,1.3619602404552096E-9,"cp"
0.25,0.48,0.48,0.5,0.44,0.17,0.29,"cp",0.9999999255519922,8.005979978004718E-9,0.0,0.0,1.5211771684949852E-40,2.9734626708988048E-15,0.0,6.644202488592145E-8,"cp"
0.31,0.23,0.48,0.5,0.73,0.05,0.14,"cp",0.9999997634672175,1.1737192213171675E-9,0.0,0.0,7.047365115927813E-56,6.569703964811546E-13,0.0,2.353584060568238E-7,"cp"
0.3,0.16,0.48,0.5,0.56,0.11,0.23,"cp",0.9999999203233149,2.0927876167610828E-10,0.0,0.0,6.494334427915783E-47,1.2469120016235844E-16,0.0,7.946740611144167E-8,"cp"
0.36,0.39,0.48,0.5,0.48,0.22,0.23,"cp",0.9999939001974711,1.771057894800044E-8,0.0,0.0,1.223964549415793E-40,1.0292805619296391E-12,0.0,6.082090920839491E-6,"cp"
0.53,0.38,0.48,0.5,0.44,0.26,0.36,"cp",0.9985357626865089,2.6054597513768383E-7,0.0,0.0,1.3231113131216826E-28,1.2555962867305572E-10,0.0,0.001463976641956494,"cp"
0.34,0.33,0.48,0.5,0.38,0.35,0.44,"cp",0.9999931551999635,4.024078008414869E-6,0.0,0.0,3.1085708372272054E-23,1.940377310451704E-15,0.0,2.8207220261542434E-6,"cp"
0.24,0.35,0.48,0.5,0.31,0.19,0.31,"cp",0.9999999863455662,4.918990474165753E-9,0.0,0.0,4.634043206877145E-40,1.87590145170917E-19,0.0,8.735443436363246E-9,"cp"
0.36,0.54,0.48,0.5,0.41,0.38,0.46,"cp",0.9993534123222529,1.9825340892141213E-4,0.0,0.0,8.48843526011082E-20,4.764305036878319E-11,0.0,4.4833422118247104E-4,"cp"
0.4,0.5,0.48,0.5,0.45,0.39,0.47,"cp",0.9989297074276492,2.5407556601991647E-4,0.0,0.0,3.3933198974851882E-18,3.0129274772963225E-10,0.0,8.162167050379481E-4,"cp"
0.28,0.38,0.48,0.5,0.5,0.33,0.42,"cp",0.999996486461914,3.3664441597806966E-6,0.0,0.0,1.123117344207154E-24,2.365662501038196E-14,0.0,1.470939024585545E-7,"cp"
0.61,0.45,0.48,0.5,0.48,0.35,0.41,"cp",0.9152761804808737,7.325873961114403E-5,0.0,0.0,2.3063264354938878E-20,2.1785168011574958E-7,0.0,0.0846503429278351,"cp"
0.42,0.35,0.48,0.5,0.58,0.15,0.27,"cp",0.999987863272878,3.918850473200835E-9,0.0,0.0,5.241408101219779E-40,3.164087753465774E-11,0.0,1.2132776630436898E-5,"cp"
0.23,0.33,0.48,0.5,0.43,0.33,0.43,"cp",0.9999980843054502,1.907414988428111E-6,0.0,0.0,1.4885396635728708E-25,1.6486301271235237E-17,0.0,8.279561304144275E-9,"cp"
0.37,0.52,0.48,0.5,0.42,0.42,0.36,"cp",0.9989852910581234,2.044826729290392E-4,0.0,0.0,2.042878836076274E-23,2.3987318756186236E-10,0.0,8.102260290743729E-4,"cp"
0.23,0.58,0.48,0.5,0.37,0.53,0.59,"cp",0.2607549444287399,0.7392193828852676,0.0,0.0,2.5774807480891273E-11,4.8322446219924415E-14,0.0,2.5672660169377634E-5,"im"
0.47,0.47,0.48,0.5,0.22,0.16,0.26,"cp",0.997499796276834,1.7765291155609866E-8,0.0,0.0,1.0648434441057439E-42,6.124242651300655E-14,0.0,0.002500185957813427,"cp"
