sepal_length,sepal_width,petal_length,petal_width,petal_whatever,class,confidence(Iris-setosa),confidence(Iris-versicolor),confidence(Iris-virginica),confidence(Iris-loren),prediction(class)
4.7,3.2,1.3,0.2,6.256000159,Iris-setosa,0.988137617,0.011860263,2.12E-06,0,Iris-setosa
4.6,3.1,1.5,0.2,5.570083867,Iris-setosa,0.986902059,0.013095692,2.25E-06,0,Iris-setosa
5,3.4,1.5,0.2,3.012203535,Iris-setosa,0.988269453,0.011728446,2.10E-06,0,Iris-setosa
4.4,2.9,1.4,0.2,6.767888023,Iris-setosa,0.985979675,0.01401798,2.35E-06,0,Iris-setosa
5.4,3.7,1.5,0.2,6.767145316,Iris-setosa,0.989094431,0.010903561,2.01E-06,0,Iris-setosa
4.8,3,1.4,0.1,3.937263997,Iris-setosa,0.987213983,0.012783804,2.21E-06,0,Iris-setosa
5.4,3.9,1.3,0.4,5.884917082,Iris-setosa,0.989290481,0.010707532,1.99E-06,0,Iris-setosa
5.4,3.4,1.7,0.2,5.753234507,Iris-setosa,0.987124243,0.012873551,2.21E-06,0,Iris-setosa
5.1,3.3,1.7,0.5,5.844114978,Iris-setosa,0.981760966,0.018236361,2.67E-06,0,Iris-setosa
5.2,3.5,1.5,0.2,3.920053991,Iris-setosa,0.988541519,0.011456412,2.07E-06,0,Iris-setosa
5.4,3.4,1.5,0.4,6.864915643,Iris-setosa,0.98603449,0.013963203,2.31E-06,0,Iris-setosa
4.9,3.1,1.5,0.1,6.294163858,Iris-setosa,0.987369564,0.012628241,2.19E-06,0,Iris-setosa
5,3.5,1.3,0.3,6.946042949,Iris-setosa,0.988669587,0.011328354,2.06E-06,0,Iris-setosa
5.1,3.8,1.9,0.4,4.94242645,Iris-setosa,0.987775807,0.012222043,2.15E-06,0,Iris-setosa
4.8,3,1.4,0.3,4.656936172,Iris-setosa,0.984848165,0.015149401,2.43E-06,0,Iris-setosa
4.6,3.2,1.4,0.2,1.413832875,Iris-setosa,0.987931901,0.012065955,2.14E-06,0,Iris-setosa
5.3,3.7,1.5,0.2,2.763281697,Iris-loren,0.2,0.1,1.00E-01,0.7,Iris-loren
5.5,2.3,4,1.3,4.247605319,Iris-loren,0.2,0.1,1.00E-01,0.7,Iris-loren
6.3,3.3,4.7,1.6,5.13640229,Iris-loren,0.2,0.1,1.00E-01,0.7,Iris-loren
6.6,2.9,4.6,1.3,0.395281171,Iris-loren,0.1,0.1,0.2,0.7,Iris-loren
5.2,2.7,3.9,1.4,1.141248653,Iris-loren,0.1,0.1,0.2,0.7,Iris-loren
5.9,3,4.2,1.5,5.839140627,Iris-loren,0.2,0.1,1.00E-01,0.7,Iris-loren
5.6,2.9,3.6,1.3,1.108778693,Iris-versicolor,0.2,0.1,1.00E-01,0.7,Iris-loren
6.2,2.2,4.5,1.5,4.426489662,Iris-versicolor,0.001715684,0.926407578,0.071876738,0,Iris-versicolor
6.1,2.8,4,1.3,4.533840792,Iris-versicolor,0.015114,0.984087064,7.99E-04,0,Iris-versicolor
6.4,2.9,4.3,1.3,0.24010622,Iris-versicolor,0.012688009,0.986227502,0.001084489,0,Iris-versicolor
6,2.9,4.5,1.5,5.097782102,Iris-versicolor,0.003880351,0.981929071,0.014190578,0,Iris-versicolor
5.7,2.6,3.5,1,4.95750521,Iris-versicolor,0.030806056,0.968848336,3.46E-04,0,Iris-versicolor
6,2.7,5.1,1.6,3.434672124,Iris-versicolor,2.00E-04,0.026741818,0.973058425,0,Iris-virginica
6,3.4,4.5,1.6,4.968353468,Iris-versicolor,0.006477488,0.987652775,0.005869737,0,Iris-versicolor
6.3,2.3,4.4,1.3,0.21077026,Iris-versicolor,0.005213243,0.989350344,0.005436413,0,Iris-versicolor
6.1,3,4.6,1.4,6.459899871,Iris-versicolor,0.004952561,0.986270059,0.008777379,0,Iris-versicolor
5.6,2.7,4.2,1.3,2.032059385,Iris-versicolor,0.006827854,0.989503425,0.003668721,0,Iris-versicolor
5.7,2.8,4.1,1.3,1.441014489,Iris-versicolor,0.010574704,0.987809487,0.001615809,0,Iris-versicolor
6.3,2.9,5.6,1.8,4.251569445,Iris-virginica,5.63E-05,0.001264296,0.998679401,0,Iris-virginica
6.5,3,5.8,2.2,3.44347506,Iris-virginica,3.13E-05,4.31E-04,0.999537451,0,Iris-virginica
4.9,2.5,4.5,1.7,1.945068486,Iris-virginica,1.54E-04,0.021489235,0.978357243,0,Iris-virginica
5.7,2.5,5,2,4.408372661,Iris-virginica,5.39E-05,0.001415693,0.998530417,0,Iris-virginica
6.4,3.2,5.3,2.3,3.792272101,Iris-virginica,6.62E-05,0.001628305,0.998305514,0,Iris-virginica
7.7,3.8,6.7,2.2,6.241656266,Iris-virginica,3.25E-05,4.14E-04,0.999553831,0,Iris-virginica
7.7,2.6,6.9,2.3,0.948765992,Iris-virginica,2.12E-05,2.45E-04,0.999733692,0,Iris-virginica
5.6,2.8,4.9,2,1.610451339,Iris-virginica,8.44E-05,0.003555751,0.996359821,0,Iris-virginica
7.7,2.8,6.7,2,6.7202629,Iris-virginica,2.54E-05,3.11E-04,0.999663314,0,Iris-virginica
6.2,2.8,4.8,1.8,5.541968791,Iris-virginica,5.74E-04,0.300479464,0.698947022,0,Iris-virginica
6.1,3,4.9,1.8,6.304175285,Iris-virginica,4.61E-04,0.167544587,0.831994148,0,Iris-virginica
7.9,3.8,6.4,2,6.847232047,Iris-virginica,8.93E-05,0.001942548,0.997968112,0,Iris-virginica
6.3,3.4,5.6,2.4,1.98050589,Iris-virginica,3.62E-05,5.29E-04,0.999434635,0,Iris-virginica
6.4,3.1,5.5,1.8,3.867375133,Iris-virginica,1.03E-04,0.004027082,0.995870276,0,Iris-virginica
6.7,3,5.2,2.3,2.041792736,Iris-virginica,9.80E-05,0.003753696,0.996148262,0,Iris-virginica
6.2,3.4,5.4,2.3,4.550971041,Iris-virginica,5.31E-05,0.001029625,0.99891726,0,Iris-virginica
5.9,3,5.1,1.8,2.139785222,Iris-virginica,1.53E-04,0.011871502,0.987975288,0,Iris-virginica
