"sepal_length","sepal_width","petal_length","petal_width","class","confidence(Iris-setosa)","confidence(Iris-versicolor)","confidence(Iris-virginica)","prediction(class)"
4.7,3.2,1.3,0.2,"Iris-setosa",0.9999999999999989,1.0895287044329672E-15,4.4551188354801074E-32,"Iris-setosa"
4.6,3.1,1.5,0.2,"Iris-setosa",0.9999999999999885,1.1626900854062709E-14,1.880893691933883E-30,"Iris-setosa"
5.0,3.4,1.5,0.2,"Iris-setosa",0.9999999999999962,3.866488986649636E-15,3.898241752413336E-30,"Iris-setosa"
4.4,2.9,1.4,0.2,"Iris-setosa",0.9999999999999905,9.518203107472605E-15,1.9203712196727883E-31,"Iris-setosa"
5.4,3.7,1.5,0.2,"Iris-setosa",0.9999999999999982,1.7134878404012584E-15,7.624286063503248E-30,"Iris-setosa"
4.8,3.0,1.4,0.1,"Iris-setosa",0.9999999999999984,1.531421888542426E-15,2.674285117610033E-31,"Iris-setosa"
5.4,3.9,1.3,0.4,"Iris-setosa",0.9999999999999891,1.0985431839818612E-14,4.292187664559506E-30,"Iris-setosa"
5.4,3.4,1.7,0.2,"Iris-setosa",0.9999999999996914,3.0860014894413465E-13,7.638408467112077E-27,"Iris-setosa"
5.1,3.3,1.7,0.5,"Iris-setosa",0.9999999980309586,1.9690413375757423E-9,8.921003005365436E-24,"Iris-setosa"
5.2,3.5,1.5,0.2,"Iris-setosa",0.9999999999999964,3.578255832001482E-15,7.710077759687804E-30,"Iris-setosa"
5.4,3.4,1.5,0.4,"Iris-setosa",0.9999999999961873,3.81264410151344E-12,8.827036512779342E-27,"Iris-setosa"
4.9,3.1,1.5,0.1,"Iris-setosa",0.9999999999999967,3.318453170829666E-15,2.5212443752210787E-30,"Iris-setosa"
5.0,3.5,1.3,0.3,"Iris-setosa",0.9999999999999969,3.128104349288276E-15,3.7132849371122375E-31,"Iris-setosa"
5.1,3.8,1.9,0.4,"Iris-setosa",0.9999999999368472,6.315280023038012E-11,2.4316564311485287E-24,"Iris-setosa"
4.8,3.0,1.4,0.3,"Iris-setosa",0.9999999999999039,9.61878744586208E-14,8.097090851466141E-30,"Iris-setosa"
4.6,3.2,1.4,0.2,"Iris-setosa",0.9999999999999978,2.2195384198710564E-15,1.6032917870461089E-31,"Iris-setosa"
5.3,3.7,1.5,0.2,"Iris-setosa",0.9999999999999989,1.1291885905807284E-15,3.63667635988657E-30,"Iris-setosa"
5.5,2.3,4.0,1.3,"Iris-versicolor",1.4854282512640345E-65,0.9999961996583806,3.800341619442167E-6,"Iris-versicolor"
6.3,3.3,4.7,1.6,"Iris-versicolor",2.9083015550297563E-106,0.671977259825871,0.3280227401741291,"Iris-versicolor"
6.6,2.9,4.6,1.3,"Iris-versicolor",1.8774615785939253E-90,0.9849054024214161,0.01509459757858397,"Iris-versicolor"
5.2,2.7,3.9,1.4,"Iris-versicolor",1.8455047396162574E-65,0.9999945396923374,5.4603076625038305E-6,"Iris-versicolor"
5.9,3.0,4.2,1.5,"Iris-versicolor",2.873401367280591E-81,0.9983024567037603,0.0016975432962398173,"Iris-versicolor"
5.6,2.9,3.6,1.3,"Iris-versicolor",2.4394113325384335E-52,0.9999984593612093,1.5406387907340307E-6,"Iris-versicolor"
6.2,2.2,4.5,1.5,"Iris-versicolor",1.2059670214088432E-94,0.9969105898901736,0.0030894101098265414,"Iris-versicolor"
6.1,2.8,4.0,1.3,"Iris-versicolor",1.715280440826779E-66,0.9999183004137646,8.16995862353333E-5,"Iris-versicolor"
6.4,2.9,4.3,1.3,"Iris-versicolor",5.432387790652246E-78,0.9985005339767952,0.0014994660232047654,"Iris-versicolor"
