Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315,Proline,class,confidence(T1),confidence(T2),confidence(T3),prediction(class)
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,T1,0.9999798877539866,2.0112246013267002E-5,2.4782082095559517E-32,T1
14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,T1,0.9999999999311744,6.88256825686013E-11,3.754776359059953E-33,T1
14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,T1,1.0,2.7289252856881773E-19,1.0831744609003708E-62,T1
14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,T1,0.999999999999106,8.93868161440075E-13,2.5020652913643905E-36,T1
13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,T1,0.9999999995846103,4.153898270015537E-10,7.659400764539024E-36,T1
14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,T1,1.0,9.562626511500709E-23,4.874061668231578E-64,T1
12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,T1,0.997344206629366,0.002655793370634032,6.733598798218437E-25,T1
13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,T1,0.0020897204706387075,0.9979102795293613,3.442961296238177E-26,T2
14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,T1,0.9999997616721163,2.3832788374981793E-7,5.055927626138725E-28,T1
13.05,1.65,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,T1,0.999658195869813,3.418041301870641E-4,2.147452778020663E-19,T1
14.22,3.99,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760.0,T1,0.9999957727476114,4.227252388650541E-6,9.288959296470702E-34,T1
